kidney_5y;den_mal;fin_mal;nor_mal;swe_mal;den_fem;fin_fem;nor_fem;swe_fem
1971-1975;27.0[23.6-30.9];28.4[23.5-34.3];33.1[29.0-37.7];31.5[29.4-33.8];29.7[26.0-33.9];34.6[30.0-40.0];38.9[34.1-44.5];38.0[35.5-40.5]
1976-1980;30.2[26.8-34.0];29.8[25.9-34.3];36.9[32.7-41.7];38.1[35.4-41.0];29.3[26.0-32.9]*;34.3[30.3-38.8];38.5[34.2-43.3];40.9[38.2-43.8]
1981-1985;30.4[27.3-33.9];34.3[30.7-38.4];39.3[35.7-43.2];41.3[38.7-44.1];34.8[31.5-38.5];43.2[39.7-46.9];42.6[38.6-47.0];44.2[41.6-46.9]
1986-1990;34.9[31.6-38.5];44.9[41.3-48.9];40.9[37.5-44.6];45.0[42.5-47.6];35.4[32.2-39.1];51.8[48.5-55.3];49.8[46.0-53.8];45.2[42.7-47.9]
1991-1995;37.9[34.7-41.5];54.1[50.7-57.7];49.1[45.6-52.8];49.6[47.1-52.3];38.2[34.8-41.8];57.2[54.2-60.3];54.5[50.8-58.5];55.3[52.7-58.0]
1996-2000;39.9[36.5-43.5];58.0[54.7-61.4];47.9[44.8-51.4];51.9[49.4-54.6];40.2[36.9-43.8]*;61.4[58.5-64.5];52.7[49.1-56.6];56.9[54.3-59.8]
2001-2005;45.9[42.9-49.2];58.4[55.5-61.5];59.0[56.0-62.1];59.7[57.1-62.3];45.0[41.6-48.8]*;63.5[60.7-66.3];62.5[59.1-66.0];61.2[58.5-64.0]
2006-2010;58.1[55.4-61.0];61.2[58.6-63.9];64.0[61.3-66.8];68.7[66.4-71.1];58.5[55.3-61.8]*;67.0[64.4-69.6];71.3[68.2-74.5];70.9[68.4-73.5]
2011-2015;68.7[66.2-71.3];64.8[62.4-67.2];74.7[72.2-77.3];74.7[72.7-76.8];68.7[65.8-71.7]*;71.1[68.8-73.6];77.2[74.3-80.2];76.6[74.4-78.9]
2016-2020;74.5[72.2-76.8];71.2[69.0-73.5];78.9[76.6-81.2];79.0[77.1-81.0];74.0[71.3-76.9];74.0[71.7-76.3];80.0[77.1-83.1];78.6[76.4-80.8]
